,Conditions,Drug,Smiles,Disease
393,Recurrent Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Non-Hodgkin Lymphoma|Recurrent Small Lymphocytic Lymphoma|Recurrent Waldenstrom Macroglobulinemia|Refractory Follicular Lymphoma|Refractory Mantle Cell Lymphoma|Refractory Marginal Zone Lymphoma|Refractory Non-Hodgkin Lymphoma|Refractory Small Lymphocytic Lymphoma,Temsirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,cardiovascular_disease
398,Acute Stroke|Visual Field Loss,Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,cardiovascular_disease
403,Open-angle Glaucoma|Ocular Hypertension,Timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,cardiovascular_disease
408,Stroke,Enecadin,CC1=NC(=CC(=N1)OCCCCCN2CCCCC2)C3=CC=C(C=C3)F,cardiovascular_disease
412,Advanced Multiple Myeloma,Filanesib,CN(C(=O)N1C(SC(=N1)C2=C(C=CC(=C2)F)F)(CCCN)C3=CC=CC=C3)OC,cardiovascular_disease
429,Acute Coronary Syndromes,Everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,cardiovascular_disease
430,Relapsed or Refractory Multiple Myeloma,Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,cardiovascular_disease
452,"Hypertension Pulmonary Secondary|Heart Failure, Right Sided|Heart Failure With Normal Ejection Fraction",Simendan,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N,cardiovascular_disease
453,"Hypertension Pulmonary Secondary|Heart Failure, Right Sided|Heart Failure With Normal Ejection Fraction",Levosimendan,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N,cardiovascular_disease
463,Drug-induced QT Prolongation|Pharmacokinetics|Pharmacodynamics,Pimozide,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,cardiovascular_disease
465,Drug-induced QT Prolongation|Pharmacokinetics|Pharmacodynamics,Cobicistat,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,cardiovascular_disease
468,"Hypertension, Essential",Nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,cardiovascular_disease
473,Obstructive Sleep Apnea|Sleep-Disordered Breathing|Blood Pressure|Hypertension,Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,cardiovascular_disease
480,Chronic Heart Failure,Serelaxin,CCC(C)C1C(=O)NC(CSSCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2CSSCC(C(=O)NC(CSSCC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C)C(C)CC)CCC(=O)N)C)CCCNC(=N)N)C(C)C)CC(C)C)CCC(=O)O)CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(C(C)CC)NC(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CO)NC(=O)C(CC(=O)O)N)C(=O)NC(C(=O)NC(C(=O)NCC(=O)N2)C(C)C)CC5=CN=CN5)NC(=O)C(CCCCN)NC(=O)C(CC(=O)N)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(CC(C)C)NC(=O)C7CCC(=O)N7)C(C)O)CCCCN)CCCNC(=N)N)CO)CC(C)C)C)CCCNC(=N)N)CC8=CC=CC=C8)C(=O)O)C(=O)NCC(=O)NC(CCSC)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)NC(CC9=CNC1=CC=CC=C19)C(=O)NC(CO)C(=O)O,cardiovascular_disease
481,Follicular Lymphoma|Small Lymphocytic Lymphoma|Marginal Zone Lymphoma|Lymphoplasmacytic Lymphoma|Diffuse Large B Cell Lymphoma|Mantle Cell Lymphoma|Burkitt's Lymphoma,Imexon,C1C2N1C(=O)N=C2N,cardiovascular_disease
491,Septic Shock|Hypotension|Tachycardia,Esmolol,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,cardiovascular_disease
497,Thrombocytopenia|Multiple Myeloma,Eltrombopag,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,cardiovascular_disease
520,Atrial Fibrillation,Vernakalant,COC1=C(C=C(C=C1)CCOC2CCCCC2N3CCC(C3)O)OC,cardiovascular_disease
523,Advanced Lymphoma|Advanced Malignant Solid Neoplasm|Hematopoietic and Lymphoid Cell Neoplasm|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma,Defactinib,CNC(=O)C1=CC=C(C=C1)NC2=NC=C(C(=N2)NCC3=NC=CN=C3N(C)S(=O)(=O)C)C(F)(F)F,cardiovascular_disease
524,Aneurysmal Subarachnoid Hemorrhage,Tiopronin,CC(C(=O)NCC(=O)O)S,cardiovascular_disease
528,Postmenopause|Hypertension|Pre-Hypertension,Drospirenone,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,cardiovascular_disease
530,Postmenopause|Hypertension|Pre-Hypertension,Medroxyprogesterone,CC1CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,cardiovascular_disease
532,Coronary Artery Bypass Surgery|Coronary Heart Disease|Coronary Artery Bypass Grafting|Cardiopulmonary Bypass|Ischemic Heart Disease|Congestive Heart Failure,Nesiritide,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)CC(=O)O)CCSC)CCCCN)CCCNC(=N)N)CC2=CC=CC=C2)NC(=O)CNC(=O)C(CO)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CCSC)NC(=O)C(CCCCN)NC(=O)C3CCCN3C(=O)C(CO)N)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC4=CN=CN4)C(=O)O)CC(C)C)CO)CO)CO)CO,cardiovascular_disease
533,Pulmonary Complication,Furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,cardiovascular_disease
534,Cyanotic Congenital Heart Disease,Topiramate,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,cardiovascular_disease
546,Acute Myelogenous Leukemia|Acute Lymphocytic Leukemia|Chronic Myelogenous Leukemia|Chronic Lymphocytic Leukemia|Myelodysplastic Syndromes|Multiple Myeloma|Non-Hodgkins Lymphoma|Hodgkins Disease|Peripheral T-cell Lymphoma,Pentostatin,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,cardiovascular_disease
551,Wet Macular Degeneration|Age-related Macular Degeneration|Diabetic Macular Edema|Retinal Vein Occlusion,Dorzolamide,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,cardiovascular_disease
564,Right Hemisphere Stroke|Hemispatial Neglect|Motor Deficit,Rotigotine,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O,cardiovascular_disease
565,DS Stage II Plasma Cell Myeloma|DS Stage III Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Romidepsin,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,cardiovascular_disease
570,HIV Infections|Non-Alcoholic Fatty Liver Disease,Semaglutide,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,cardiovascular_disease
573,Pulmonary Embolism,Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,cardiovascular_disease
574,"Ischemic Reperfusion Injury|Insufficiency; Hepatic, Postoperative|Liver Tumour",Methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,cardiovascular_disease
577,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Azacitidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,cardiovascular_disease
580,"Fibrillation, Atrial|Atrial Fibrillation",Odiparcil,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(CS3)O)O)O,cardiovascular_disease
585,Atrial Fibrillation,Digoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,cardiovascular_disease
586,Orthostatic Hypotension|Spinal Cord Injury,Midodrine,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,cardiovascular_disease
588,"Lymphoma, Non-Hodgkin|Lymphoma, Follicular|Lymphoma, Mantle-Cell|Lymphoma, Small-Cell|Waldenstrom Macroglobulinemia|Lymphoma, B-Cell, Marginal Zone",Bendamustine,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,cardiovascular_disease
589,"Lymphoma, Non-Hodgkin|Lymphoma, Follicular|Lymphoma, Mantle-Cell|Lymphoma, Small-Cell|Waldenstrom Macroglobulinemia|Lymphoma, B-Cell, Marginal Zone",Vincristine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,cardiovascular_disease
591,Multiple Myeloma,Sirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,cardiovascular_disease
606,Coronary Heart Disease,Amiloride,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,cardiovascular_disease
611,Takotsubo Cardiomyopathy,Metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,cardiovascular_disease
613,Transthyretin Amyloidosis|Cardiomyopathy,Doxycycline,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,cardiovascular_disease
628,Polymyalgia Rheumatica|Effect of Drug|Safety Issues,Tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,cardiovascular_disease
633,MELAS Syndrome,Idebenone,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,cardiovascular_disease
650,Multiple Myeloma,Tipifarnib,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,cardiovascular_disease
651,Hypertension,Aliskiren,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,cardiovascular_disease
657,Lymphoma|Multiple Myeloma,Tinzaparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,cardiovascular_disease
660,Cerebral Cavernous Malformation,Propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,cardiovascular_disease
663,Heart Failure With Preserved Ejection Fraction,Dapagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl,cardiovascular_disease
669,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,cardiovascular_disease
676,Multiple Myeloma,Mesna,C(CS(=O)(=O)[O-])S.[Na+],cardiovascular_disease
686,Diabetic Foot Ulcer,Dalteparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,cardiovascular_disease
710,Myocardial Ischemia,Ranolazine,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,cardiovascular_disease
723,End Stage Heart Disease|Right Ventricular Dysfunction,Milrinone,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,cardiovascular_disease
747,Multiple Myeloma,Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,cardiovascular_disease
751,Chronic Heart Failure,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,cardiovascular_disease
760,VHL - Von Hippel-Lindau Syndrome|VHL Gene Mutation|VHL Syndrome|VHL Gene Inactivation|VHL-Associated Renal Cell Carcinoma|VHL-Associated Clear Cell Renal Cell Carcinoma,Belzutifan,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,cardiovascular_disease
769,Atherosclerosis|Inflammation,Sitagliptin,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,cardiovascular_disease
773,Congestive Heart Failure,Oxypurinol,C1=NNC2=C1C(=O)NC(=O)N2,cardiovascular_disease
774,Precapillary Pulmonary Hypertension,Trimetazidine,COC1=C(C(=C(C=C1)CN2CCNCC2)OC)OC,cardiovascular_disease
779,Venous Thrombosis|Pulmonary Embolism,Fondaparinux,COC1C(C(C(C(O1)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)COS(=O)(=O)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C(C(O5)COS(=O)(=O)O)O)O)NS(=O)(=O)O)O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O)NS(=O)(=O)O,cardiovascular_disease
789,Cardiovascular Disease,Evacetrapib,CC1=CC(=C2C(=C1)C(CCCN2CC3CCC(CC3)C(=O)O)N(CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=NN(N=N5)C)C,cardiovascular_disease
791,Ischemic Stroke,Argatroban,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,cardiovascular_disease
795,Pregnancy|Severe Pre-eclampsia,Remifentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC,cardiovascular_disease
796,Pregnancy|Severe Pre-eclampsia,Dexmedetomidine,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,cardiovascular_disease
807,Acute Stroke|Endovascular Thrombectomy,Nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,cardiovascular_disease
808,Acute Stroke|Endovascular Thrombectomy,Labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,cardiovascular_disease
809,Acute Stroke|Endovascular Thrombectomy,Hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,cardiovascular_disease
817,Acute Cerebrovascular Accident|Cerebral Edema,Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,cardiovascular_disease
818,Acute Cerebrovascular Accident|Cerebral Edema,Pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,cardiovascular_disease
819,Acute Cerebrovascular Accident|Cerebral Edema,Famotidine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,cardiovascular_disease
820,Acute Cerebrovascular Accident|Cerebral Edema,Dextromethorphan,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,cardiovascular_disease
823,Multiple Myeloma,Colesevelam,CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.C=CCN.C1C(O1)CCl.Cl.[Cl-],cardiovascular_disease
831,Fabry Disease,Lucerastat,CCCCN1CC(C(C(C1CO)O)O)O,cardiovascular_disease
843,Cardiovascular Diseases|Cardiovascular Risk Factor|Vasodilation,Tempol,CC1(CC(CC(N1[O])(C)C)O)C,cardiovascular_disease
844,Cardiovascular Diseases|Cardiovascular Risk Factor|Vasodilation,Apocynin,CC(=O)C1=CC(=C(C=C1)O)OC,cardiovascular_disease
853,Acute Ischemic Stroke,Tirofiban,CCCCS(=O)(=O)NC(CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O,cardiovascular_disease
855,Hypertension,Dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,cardiovascular_disease
869,Cirrhosis|Portal Hypertension|Non-alcoholic Steatohepatitis,Emricasan,CC(C(=O)NC(CC(=O)O)C(=O)COC1=C(C(=CC(=C1F)F)F)F)NC(=O)C(=O)NC2=CC=CC=C2C(C)(C)C,cardiovascular_disease
871,Coagulation Defect; Bleeding,Morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,cardiovascular_disease
872,Coagulation Defect; Bleeding,Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,cardiovascular_disease
889,Aortic Aneurysm,Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,cardiovascular_disease
909,Macular Edema,Nepafenac,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)N,cardiovascular_disease
916,Multiple Myeloma,Opaganib,C1C2CC3(CC1CC(C2)(C3)C(=O)NCC4=CC=NC=C4)C5=CC=C(C=C5)Cl,cardiovascular_disease
922,"Subarachnoid Hemorrhage, Aneurysmal",Nimodipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,cardiovascular_disease
927,Coronary Artery Disease,Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,cardiovascular_disease
929,Clinically Significant Portal Hypertension,Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,cardiovascular_disease
941,Thrombosis,Itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,cardiovascular_disease
944,Multiple Myeloma,Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,cardiovascular_disease
963,Thromboembolism,Betrixaban,CN(C)C(=N)C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)OC)C(=O)NC3=NC=C(C=C3)Cl,cardiovascular_disease
970,Hypertension,Doxazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,cardiovascular_disease
977,Primary Open Angle Glaucoma or Ocular Hypertension,Netarsudil,CC1=CC(=C(C=C1)C(=O)OCC2=CC=C(C=C2)C(CN)C(=O)NC3=CC4=C(C=C3)C=NC=C4)C,cardiovascular_disease
980,Cardiovascular Disease,Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,cardiovascular_disease
988,Atrial Fibrillation,Dabigatran,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,cardiovascular_disease
998,Myocardial Infarction|Acute Coronary Syndromes|Unstable Angina,Eptifibatide,C1CC2C(=O)NC(CSSCCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N,cardiovascular_disease
1007,Open-angle Glaucoma|Oular Hypertension,Anecortave,CC12CCC(=O)C=C1CCC3C2=CCC4(C3CCC4(C(=O)CO)O)C,cardiovascular_disease
1031,Von Hippel-Lindau Syndrome,Pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,cardiovascular_disease
1032,Heart Failure,Cenderitide,CCC(C)C(C(=O)NCC(=O)NC(CO)C(=O)NC(CCSC)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CS)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC(=O)O)C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)N3CCCC3C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)N4CCCC4C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(C)C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CC5=CC=CC=C5)NC(=O)C(CS)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)CN,cardiovascular_disease
1034,Behavioural Disturbances|Pain|Dementia|Alzheimer's Dementia|Vascular Dementia,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,cardiovascular_disease
1036,Multiple Myeloma,Rimiducid,CCC(C1=CC(=C(C(=C1)OC)OC)OC)C(=O)N2CCCCC2C(=O)OC(CCC3=CC(=C(C=C3)OC)OC)C4=CC(=CC=C4)OCC(=O)NCCNC(=O)COC5=CC=CC(=C5)C(CCC6=CC(=C(C=C6)OC)OC)OC(=O)C7CCCCN7C(=O)C(CC)C8=CC(=C(C(=C8)OC)OC)OC,cardiovascular_disease
1048,"Hypertension, Pulmonary|Pulmonary Arterial Hypertension",Treprostinil,CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,cardiovascular_disease
1049,"Hypertension, Pulmonary|Pulmonary Arterial Hypertension",Esomeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,cardiovascular_disease
1050,"Atrial Fibrillation|Atrial Fibrillation, Persistent",Ivabradine,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,cardiovascular_disease
1063,Conscious Sedation,Fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,cardiovascular_disease
1065,Stroke,Basmisanil,CC1=C(C(=NO1)C2=CC=C(C=C2)F)COC3=NC=C(C=C3)C(=O)N4CCS(=O)(=O)CC4,cardiovascular_disease
1069,Multiple Myeloma,Pralatrexate,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,cardiovascular_disease
1079,Multiple Myeloma,Pamidronate,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,cardiovascular_disease
1093,Hypertension,Chlorthalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,cardiovascular_disease
1104,Acute Myeloid Leukemia|Diffuse Large B-cell Lymphoma|Acute Lymphoblastic Leukemia|Multiple Myeloma,Birabresib,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)NC4=CC=C(C=C4)O)C5=CC=C(C=C5)Cl)C,cardiovascular_disease
1111,Essential Hypertension,Aprocitentan,C1=CC(=CC=C1C2=C(N=CN=C2OCCOC3=NC=C(C=N3)Br)NS(=O)(=O)N)Br,cardiovascular_disease
1134,"Arteritis, Giant Cell",Baricitinib,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,cardiovascular_disease
1167,Congestive Heart Failure,Rosiglitazone,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,cardiovascular_disease
1171,Thrombosis Prophylaxis (Risk of Thrombosis Due to Central Venous Line (CVL),Semuloparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,cardiovascular_disease
1172,"Heart Failure, Congestive|Edema",Tolvaptan,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,cardiovascular_disease
1176,Autonomic Failure|Orthostatic Hypotension,Atomoxetine,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,cardiovascular_disease
